LEA_NAME,STATE,ZIP,OP
Alabama Youth Services,ALABAMA,36057,0
Albertville City,ALABAMA,35950,6
Marshall County,ALABAMA,35976,15
Hoover City,ALABAMA,35243,18
Madison City,ALABAMA,35758,11
Al Inst Deaf And Blind,ALABAMA,35161,5
Leeds City,ALABAMA,35094,4
Boaz City,ALABAMA,35957,5
Trussville City,ALABAMA,35173,5
SafetyNet Academy Minter,ALABAMA,36761,6
Bryce Adolescent School,ALABAMA,35401,1
Alabama School of Fine Arts,ALABAMA,35203,0
United Ability,ALABAMA,35211,1
Boyd School,ALABAMA,35074,1
BrewerPorch Childrens Center,ALABAMA,35487,1
Sequel TSI Courtland LLC,ALABAMA,35618,1
Sequel TSI Madison LLC,ALABAMA,35758,1
Sequel TSI New Beginnings LLC,ALABAMA,35763,1
Sequel TSI Tuskegee LLC,ALABAMA,36083,1
Triwill Portacras,ALABAMA,35074,1
Alexander City,ALABAMA,35010,5
Glenwood Mental Health Service,ALABAMA,35242,3
The Little Tree Preschool  Auburn,ALABAMA,36830,4
Lee County Youth Development Center,ALABAMA,36801,1
BayPointe Residential Services,ALABAMA,36693,1
Pathway Inc,ALABAMA,36331,2
Presbyterian Home for Children,ALABAMA,35161,1
Brantwood Childrens Home,ALABAMA,36104,1
Developing Alabama Youth Prog,ALABAMA,35007,1
Laurel Oaks Behavioral Health Center,ALABAMA,36301,1
Southeastern Psychiaric Management Inc,ALABAMA,35904,1
Andalusia City,ALABAMA,36421,3
Anniston City,ALABAMA,36202,7
Arab City,ALABAMA,35016,4
Athens City,ALABAMA,35611,8
POINTE Academy LLC,ALABAMA,36617,1
JF Ingram State Technical College,ALABAMA,36022,8
Higdon Hill School,ALABAMA,35212,2
The Bridge,ALABAMA,35901,2
Attalla City,ALABAMA,35954,3
Compass School,ALABAMA,36441,1
Alabama Clinical Schools,ALABAMA,35210,1
Excel Institute,ALABAMA,35902,1
Saraland City,ALABAMA,36571,4
Father Purcell Center,ALABAMA,36108,1
Montgomery Childrens Specialty Center,ALABAMA,36110,1
Chickasaw City,ALABAMA,36611,3
Satsuma City,ALABAMA,36572,2
Alabaster City,ALABAMA,35007,5
Evergreen School,ALABAMA,35487,1
Montgomery Public Schools MPS Classroom McInnis,ALABAMA,36116,1
St Marys Home,ALABAMA,36618,1
Pelham City,ALABAMA,35124,4
Pike Road City,ALABAMA,36064,3
Acceleration Day and Evening Academy,ALABAMA,36606,1
Sequel TSI Montgomery LLC,ALABAMA,36104,1
University Charter School,ALABAMA,35470,1
East Alabama Medical Center,ALABAMA,35601,1
Legacy Prep,ALABAMA,35214,1
Gulf Shores City,ALABAMA,36547,3
LEAD Academy,ALABAMA,36116,1
i3 Academy,ALABAMA,35212,0
Capstone,ALABAMA,35401,0
Woodland Preparatory,ALABAMA,36518,0
Auburn City,ALABAMA,36831,13
Autauga County,ALABAMA,36067,15
Baldwin County,ALABAMA,36507,44
Barbour County,ALABAMA,36016,3
Bessemer City,ALABAMA,35021,9
Bibb County,ALABAMA,35042,9
Birmingham City,ALABAMA,35202,51
Blount County,ALABAMA,35121,17
Brewton City,ALABAMA,36426,3
Bullock County,ALABAMA,36089,4
Butler County,ALABAMA,36037,7
Calhoun County,ALABAMA,36202,19
Chambers County,ALABAMA,36862,11
Cherokee County,ALABAMA,35960,8
Chilton County,ALABAMA,35045,14
Choctaw County,ALABAMA,36904,4
Clarke County,ALABAMA,36451,7
Clay County,ALABAMA,36251,4
Cleburne County,ALABAMA,36264,9
Coffee County,ALABAMA,36323,4
Colbert County,ALABAMA,35674,8
Conecuh County,ALABAMA,36401,8
Coosa County,ALABAMA,35136,3
Covington County,ALABAMA,36421,9
Crenshaw County,ALABAMA,36049,4
Cullman City,ALABAMA,35055,7
Cullman County,ALABAMA,35056,28
Dale County,ALABAMA,36360,8
Daleville City,ALABAMA,36322,2
Dallas County,ALABAMA,36702,12
DeKalb County,ALABAMA,35986,16
Decatur City,ALABAMA,35601,20
Demopolis City,ALABAMA,36732,4
Dothan City,ALABAMA,36305,16
Elba City,ALABAMA,36323,3
Elmore County,ALABAMA,36092,15
Enterprise City,ALABAMA,36331,10
Escambia County,ALABAMA,36427,12
Etowah County,ALABAMA,35904,24
Eufaula City,ALABAMA,36027,6
Fairfield City,ALABAMA,35064,6
Fayette County,ALABAMA,35555,6
Florence City,ALABAMA,35631,9
Fort Payne City,ALABAMA,35968,4
Franklin County,ALABAMA,35653,10
Gadsden City,ALABAMA,35902,15
Geneva City,ALABAMA,36340,3
Geneva County,ALABAMA,36340,10
Greene County,ALABAMA,35462,5
Guntersville City,ALABAMA,35976,4
Hale County,ALABAMA,36744,7
Haleyville City,ALABAMA,35565,4
Hartselle City,ALABAMA,35640,6
Henry County,ALABAMA,36310,6
Homewood City,ALABAMA,35209,5
Houston County,ALABAMA,36301,12
Huntsville City,ALABAMA,35807,46
Jackson County,ALABAMA,35768,18
Jacksonville City,ALABAMA,36265,2
Jasper City,ALABAMA,35502,5
Jefferson County,ALABAMA,35209,58
Lamar County,ALABAMA,35592,5
Lanett City,ALABAMA,36863,3
Lauderdale County,ALABAMA,35631,10
Lawrence County,ALABAMA,35650,15
Lee County,ALABAMA,36804,14
Limestone County,ALABAMA,35611,17
Linden City,ALABAMA,36748,3
Lowndes County,ALABAMA,36040,8
Macon County,ALABAMA,36083,7
Madison County,ALABAMA,35804,30
Marengo County,ALABAMA,36748,3
Marion County,ALABAMA,35570,11
Midfield City,ALABAMA,35228,4
Mobile County,ALABAMA,36618,91
Monroe County,ALABAMA,36460,9
Montgomery County,ALABAMA,36102,52
Morgan County,ALABAMA,35603,19
Mountain Brook City,ALABAMA,35213,6
Muscle Shoals City,ALABAMA,35662,7
Oneonta City,ALABAMA,35121,3
Opelika City,ALABAMA,36801,9
Opp City,ALABAMA,36467,3
Oxford City,ALABAMA,36203,7
Ozark City,ALABAMA,36360,6
Pell City,ALABAMA,35125,8
Perry County,ALABAMA,36756,2
Phenix City,ALABAMA,36868,12
Pickens County,ALABAMA,35447,7
Piedmont City,ALABAMA,36272,3
Pike County,ALABAMA,36081,7
Randolph County,ALABAMA,36278,8
Roanoke City,ALABAMA,36274,4
Russell County,ALABAMA,36868,8
Russellville City,ALABAMA,35653,5
Scottsboro City,ALABAMA,35768,5
Selma City,ALABAMA,36702,11
Sheffield City,ALABAMA,35660,4
Shelby County,ALABAMA,35051,31
St Clair County,ALABAMA,35953,20
Sumter County,ALABAMA,35470,5
Sylacauga City,ALABAMA,35150,4
Talladega City,ALABAMA,35161,7
Talladega County,ALABAMA,35161,18
Tallapoosa County,ALABAMA,36853,6
